country,fips,city,source,2005,2006,2007,2008,2009,2010,2011,2012
Albania,AL,Tirana,CTS,24,19,21,18,25,33,28,0
Algeria,AG,Algiers,CTS,21,22,38,47,35,31,40,0
Andorra,AN,Andorra la Vella,CTS,0,0,0,0,1,1,1,0
Argentina,AR,Buenos Aires,CTS,130,116,119,139,150,0,0,0
Armenia,AM,Yerevan,CTS,0,0,0,0,0,17,20,19
Australia,AS,Sydney,NSO,51,62,49,0,0,0,0,0
Austria,AU,Vienna,CTS,22,18,20,15,19,17,25,24
Azerbaijan,AJ,Baku,CTS,70,70,67,67,0,70,0,0
Bahamas,BF,Nassau,CTS,33,48,60,57,71,78,110,0
Bangladesh,BG,Dhaka,CTS,231,344,0,0,0,0,0,0
Belarus,BO,Minsk,CTS,85,87,49,56,48,0,0,0
Belgium,BE,Brussels,CTS,32,37,20,44,33,31,24,30
Belize,BH,Belize City,CTS,44,42,41,47,54,70,74,0
Bolivia (Plurinational State of),BL,La Paz,CTS,46,44,0,0,0,0,0,0
Bosnia and Herzegovina,BK,Sarajevo,CTS,9,10,10,10,0,0,0,0
Botswana,BC,Gaborone,CTS,0,0,0,0,36,0,0,0
Brazil,BR,Sao Paolo,Secretaria de Seguranca Publica,2684,1770,1648,1322,1301,1263,1069,1621
Bulgaria,BU,Sofia,CTS,38,27,24,27,26,20,20,24
Canada,CA,Toronto,CTS,99,96,103,101,84,79,78,0
Chile,CI,Santiago de Chile,CTS,253,221,278,224,250,205,239,0
China,CH,Hong Kong,CTS,34,35,18,36,47,35,17,27
Colombia,CO,Bogotá,National Institute of Forensic Medicine,1689,1336,1401,1466,1649,1743,1654,1281
Costa Rica,CS,San José,CTS,0,46,65,93,80,68,61,55
Croatia,HR,Zagreb,CTS,16,11,6,15,5,10,11,10
Cyprus,CY,Nicosia,CTS,3,8,3,3,3,4,2,5
Czech Republic,EZ,Prague,CTS,15,21,21,15,18,16,10,18
Democratic Republic of the Congo,CF,Kinshasa,UN-PKO,0,0,0,0,0,163,0,0
Denmark,DA,Copenhagen,CTS/Eurostat,13,9,7,8,13,4,16,14
Dominican Republic,DR,Santo Domingo,CTS,0,0,0,0,0,0,0,661
Ecuador,EC,Quito,CTS/SES,229,277,0,239,223,290,230,0
Egypt,EG,Cairo,CTS,21,44,62,93,74,200,271,0
El Salvador,ES,San Salvador,CTS,0,0,0,0,0,0,277,157
Estonia,EN,Tallinn,CTS/Eurostat,40,21,35,0,29,22,0,0
Finland,FI,Helsinki,CTS,13,14,10,16,7,12,14,12
France,FR,Paris,CTS,34,29,33,35,25,41,40,41
Georgia,GG,Tbilisi,CTS,141,86,90,56,57,39,0,0
Germany,GM,Berlin,CTS,60,50,42,42,61,37,35,0
Ghana,GH,Accra,National police,0,0,0,46,48,0,0,0
Greece,GR,Athens,CTS,49,43,68,69,70,82,86,0
Guatemala,GT,Guatemala City,CTS/National police,1098,1161,1239,1172,1272,1253,0,0
Haiti,HA,Port au Prince,UN-PKO,0,0,294,162,297,495,0,0
Honduras,HO,Tegucigalpa,SES,0,0,0,674,805,1046,1175,0
Hungary,HU,Budapest,CTS,31,30,17,26,36,32,32,28
Iceland,IC,Reykjavik,CTS,2,0,2,0,1,1,3,1
India,IN,Mumbai,CTS,212,239,230,210,217,228,0,0
Indonesia,ID,Jakarta,CTS,0,0,0,67,75,86,74,0
Ireland,EI,Dublin,Eurostat,29,33,31,26,29,30,0,0
Israel,IS,Tel Aviv,CTS,24,15,17,18,0,0,0,0
Italy,IT,Rome,CTS,34,26,29,28,29,9,27,24
Jamaica,JM,Kingston,CTS,331,565,727,641,632,441,328,0
Japan,JA,Tokyo,CTS,47,55,55,83,54,39,32,0
Jordan,JO,Amman,CTS,23,40,0,0,0,0,0,0
Kazakhstan,KZ,Almaty,CTS,173,164,130,170,134,125,140,127
Kenya,KE,Nairobi,CTS,196,177,121,117,133,140,191,209
Kuwait,KU,Kuwait City,CTS,8,9,12,11,11,0,0,0
Kyrgyzstan,KG,Bishkek,CTS,130,104,93,89,80,88,81,0
Latvia,LG,Riga,CTS,35,46,29,30,37,23,18,26
Lesotho,LT,Maseru,CTS,0,0,146,136,141,0,0,0
Liberia,LI,Monrovia,UN-PKO,0,0,46,68,58,50,0,0
Liechtenstein,LS,Vaduz,CTS,0,0,0,0,0,0,0,0
Lithuania,LH,Vilnius,CTS,43,32,41,58,30,26,22,19
Luxembourg,LU,Luxembourg,Eurostat/CTS,1,4,3,3,5,0,3,0
Malaysia,MY,Kuala Lampur,CTS,47,70,0,0,0,0,0,0
Maldives,MV,Male,CTS,0,0,8,6,0,0,0,0
Malta,MT,Valletta,CTS,0,0,0,0,0,1,0,0
Mauritius,MU,Port Louis,CTS,8,5,8,14,11,12,8,0
Mexico,MX,Mexico City,CTS,698,649,714,713,747,811,779,0
Monaco,MN,Monte Carlo,CTS,1,1,0,0,0,0,0,0
Mongolia,MG,Ulan Bator,CTS,157,152,143,111,98,119,140,0
Montenegro,MJ,Podgorica,CTS,12,11,7,7,8,7,7,7
Morocco,MO,Casablanca,CTS,44,30,41,36,52,0,0,0
Mozambique,MZ,Maputo,CTS,104,75,92,53,39,0,0,0
Nepal,NP,Kathmandu,CTS,172,166,0,0,0,0,0,0
Netherlands,NL,Amsterdam,Eurostat,24,17,27,11,24,10,12,0
New Zealand,NZ,Auckland,CTS,19,23,11,20,15,17,14,10
Nicaragua,NU,Managua,CTS,162,178,0,0,0,236,0,0
Norway,NO,Oslo,CTS,9,9,8,12,7,5,19,0
Oman,MU,Muscat,CTS,0,0,4,4,0,0,0,0
Panama,PM,Panama City,CTS,257,247,305,465,610,549,530,492
Paraguay,PA,Asuncion,CTS,68,55,69,105,57,48,0,0
Peru,PE,Lima,CTS,500,484,712,563,497,0,0,0
Philippines,RP,Quezon City,CTS,239,188,151,119,123,0,0,0
Poland,PL,Warsaw,CTS,37,36,37,25,35,27,36,0
Portugal,PO,Lisbon,CTS,15,17,12,9,4,6,5,13
Qatar,QA,Doha,CTS,0,0,5,4,0,0,0,0
Republic of Korea,KS,Seoul,CTS,0,199,219,221,250,294,83,0
Republic of Moldova,MD,Chishinau,CTS,57,56,51,36,43,42,35,41
Romania,RO,Bucharest,CTS,27,25,22,17,20,22,17,21
Russian Federation,RS,Moscow,CTS,766,767,629,626,481,483,439,0
Saint Kitts and Nevis,SC,Basseterre,National police/CTS,5,4,8,8,12,6,17,0
Sao Tome and Principe,TP,Sao Tome,CTS,0,2,2,2,3,0,0,0
Serbia,RB,Belgrade,CTS,48,50,50,40,24,23,37,22
Sierra Leone,SL,Freetown,CTS,0,0,52,72,0,0,0,0
Singapore,SN,Singapore,CTS,21,17,18,27,20,19,16,11
Slovakia,LO,Bratislava,CTS,11,15,16,10,9,8,14,12
Slovenia,SI,Ljubljana,CTS,4,1,3,0,1,3,4,2
Solomon Islands,BP,Honiara City,CTS,3,12,19,11,0,0,0,0
South Africa,SF,Cape Town,National police,1797,2016,2018,0,0,0,0,0
South Sudan,SU,Juba,UN-PKO,0,0,0,0,0,0,0,132
Spain,SP,Madrid,CTS,36,37,34,39,32,28,21,28
Sri Lanka,CE,Colombo,National police,0,66,55,55,31,0,0,0
State of Palestine,GZ&WE,Hebron,CTS,17,0,0,0,0,0,0,0
Sudan,SU,Khartoum,CTS,0,0,0,263,0,0,0,0
Switzerland,WZ,Zürich,CTS,0,0,0,0,4,11,1,0
Syrian Arab Republic,SY,Aleppo,CTS,0,0,155,131,0,0,0,0
Tajikistan,TI,Dushanbe,CTS,38,29,26,19,19,24,23,0
Thailand,TH,Bangkok,CTS,311,327,283,252,225,219,0,0
The former Yugoslav Republic of Macedonia,MK,Skopje,CTS,15,19,21,13,12,14,11,0
Timor-Leste,TT,Dili,UN-PKO,0,0,0,0,0,17,0,0
Tonga,TL,Nuku'alofa,National police,4,8,1,3,4,1,2,1
Trinidad and Tobago,TD,Port of Spain,CTS,117,99,86,164,127,93,94,0
Turkey,TU,Istanbul,CTS,923,842,656,596,0,0,0,0
Turkmenistan,TX,Ashkhabad,CTS,33,33,0,0,0,0,0,0
Uganda,UG,Kampala,CTS,0,0,0,401,459,360,0,0
Ukraine,UP,Kiev,CTS,129,129,99,102,118,91,0,0
United Arab Emirates,AE,Dubai,CTS,25,20,0,0,0,0,0,0
United Kingdom (England and Wales),UK,London,CTS,177,160,161,155,118,133,100,0
United Kingdom (Northern Ireland),EI,Belfast,CTS,13,11,6,4,7,9,3,0
United Republic of Tanzania,TZ,Dar es Salaam,NGO,362,0,0,0,0,0,0,0
United States of America,US,New York City,CTS,539,596,496,523,471,536,515,419
Uruguay,UY,Montevideo,CTS/Ministry of Interior,0,90,86,107,112,107,112,0
Venezuela (Bolivarian Republic of),VE,Caracas,NGO,"1,926","2,218","2,710","2,653","2,550",0,0,0
Yemen,YM,Sanaa,CTS,96,102,93,81,83,0,0,0
Zambia,ZA,Lusaka,National police,121,129,162,46,142,121,0,0
