country,fips,city,source,2005,2006,2007,2008,2009,2010,2011,2012
Albania,AL,Tirana,CTS,5.7,4.5,5.0,4.3,6.0,7.9,6.7,0.0
Algeria,AG,Algiers,CTS,0.8,0.8,1.4,1.7,1.3,1.1,1.4,0.0
Andorra,AN,Andorra la Vella,CTS,0.0,0.0,0.0,0.0,2.7,2.5,2.7,0.0
Argentina,AR,Buenos Aires,CTS,4.3,3.8,3.9,4.6,4.9,0.0,0.0,0.0
Armenia,AM,Yerevan,CTS,0.0,0.0,0.0,0.0,0.0,1.5,1.8,1.7
Australia,AS,Sydney,NSO,1.2,1.4,1.1,0.0,0.0,0.0,0.0,0.0
Austria,AU,Vienna,CTS,1.3,1.1,1.2,0.9,1.1,1.0,1.5,1.4
Azerbaijan,AJ,Baku,CTS,3.7,3.6,3.3,3.3,0.0,3.3,0.0,0.0
Bahamas,BF,Nassau,CTS,13.3,19.3,24.1,22.9,28.5,31.3,44.2,0.0
Bangladesh,BG,Dhaka,CTS,3.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,BO,Minsk,CTS,4.8,4.9,2.7,3.1,2.6,0.0,0.0,0.0
Belgium,BE,Brussels,CTS,3.1,3.6,1.9,4.1,3.0,2.8,2.1,2.6
Belize,BH,Belize City,CTS,74.2,68.7,65.1,72.5,81.0,102.1,105.1,0.0
Bolivia (Plurinational State of),BL,La Paz,CTS,5.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BK,Sarajevo,CTS,1.8,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Botswana,BC,Gaborone,CTS,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0
Brazil,BR,Sao Paolo,Secretaria de Seguranca Publica,24.7,16.2,15.0,11.9,11.6,11.2,9.4,14.2
Bulgaria,BU,Sofia,CTS,3.1,2.2,1.9,2.2,2.1,1.6,1.5,1.8
Canada,CA,Toronto,CTS,1.9,1.8,1.9,1.8,1.5,1.4,1.3,0.0
Chile,CI,Santiago de Chile,CTS,4.5,3.9,4.8,3.8,4.2,3.4,3.9,0.0
China,CH,Hong Kong,CTS,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4
Colombia,CO,Bogotá,National Institute of Forensic Medicine,24.0,18.6,19.3,19.9,22.1,23.0,21.6,16.5
Costa Rica,CS,San José,CTS,0.0,13.6,19.1,27.1,23.1,19.5,21.2,17.7
Croatia,HR,Zagreb,CTS,2.1,1.4,0.8,1.9,0.6,1.3,1.4,1.3
Cyprus,CY,Nicosia,CTS,1.0,2.6,1.0,1.0,1.0,1.3,0.6,2.0
Czech Republic,EZ,Prague,CTS,1.2,1.7,1.7,1.2,1.5,1.3,0.8,1.4
Democratic Republic of the Congo,CF,Kinshasa,UN-PKO,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0
Denmark,DA,Copenhagen,CTS/Eurostat,1.2,0.8,0.6,0.7,1.1,0.3,1.3,1.1
Dominican Republic,DR,Santo Domingo,CTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1
Ecuador,EC,Quito,CTS/SES,11.4,13.8,0.0,11.9,11.1,14.4,11.4,0.0
Egypt,EG,Cairo,CTS,0.2,0.4,0.6,0.8,0.7,1.8,2.4,0.0
El Salvador,ES,San Salvador,CTS,0.0,0.0,0.0,0.0,0.0,0.0,89.9,52.5
Estonia,EN,Tallinn,CTS/Eurostat,10.1,5.3,8.8,0.0,7.3,5.5,0.0,0.0
Finland,FI,Helsinki,CTS,2.3,2.5,1.8,2.8,1.2,2.0,2.4,2.0
France,FR,Paris,CTS,1.6,1.3,1.5,1.6,1.1,1.8,1.8,1.8
Georgia,GG,Tbilisi,CTS,13.1,7.8,8.2,4.9,5.0,3.4,0.0,0.0
Germany,GM,Berlin,CTS,1.8,1.5,1.2,1.2,1.8,1.1,1.0,0.0
Ghana,GH,Accra,National police,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0
Greece,GR,Athens,CTS,1.4,1.3,2.0,2.0,2.0,2.3,2.4,0.0
Guatemala,GT,Guatemala City,CTS/National police,111.4,115.7,121.3,112.8,120.3,116.6,0.0,0.0
Haiti,HA,Port au Prince,UN-PKO,0.0,0.0,23.8,13.1,24.1,40.1,0.0,0.0
Honduras,HO,Tegucigalpa,SES,0.0,0.0,0.0,62.5,73.0,92.9,102.2,0.0
Hungary,HU,Budapest,CTS,1.8,1.8,1.0,1.5,2.1,1.9,1.8,1.6
Iceland,IC,Reykjavik,CTS,1.0,0.0,1.0,0.0,0.5,0.5,1.5,0.5
India,IN,Mumbai,CTS,1.2,1.3,1.2,1.1,1.1,1.2,0.0,0.0
Indonesia,ID,Jakarta,CTS,0.0,0.0,0.0,0.7,0.8,0.9,0.8,0.0
Ireland,EI,Dublin,Eurostat,2.6,2.7,2.5,2.0,2.1,2.0,0.0,0.0
Israel,IS,Tel Aviv,CTS,6.1,3.8,4.3,4.6,0.0,0.0,0.0,0.0
Italy,IT,Rome,CTS,1.3,1.0,1.1,1.1,1.1,0.3,1.0,0.9
Jamaica,JM,Kingston,CTS,50.8,86.7,111.5,98.3,97.0,67.7,50.3,0.0
Japan,JA,Tokyo,CTS,0.4,0.4,0.4,0.6,0.4,0.3,0.2,0.0
Jordan,JO,Amman,CTS,1.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,KZ,Almaty,CTS,13.6,12.6,9.8,12.6,9.7,8.9,9.7,8.6
Kenya,KE,Nairobi,CTS,7.0,6.1,4.1,3.9,4.4,4.5,6.1,6.1
Kuwait,KU,Kuwait City,CTS,1.0,1.1,1.3,1.2,1.2,0.0,0.0,0.0
Kyrgyzstan,KG,Bishkek,CTS,16.5,12.9,11.2,10.5,9.2,9.9,9.0,0.0
Latvia,LG,Riga,CTS,4.8,6.3,4.0,4.2,5.2,3.3,2.7,4.0
Lesotho,LT,Maseru,CTS,0.0,0.0,64.1,59.7,61.9,0.0,0.0,0.0
Liberia,LI,Monrovia,UN-PKO,0.0,0.0,4.8,7.0,5.9,4.9,0.0,0.0
Liechtenstein,LS,Vaduz,CTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,LH,Vilnius,CTS,7.8,5.8,7.4,10.4,5.4,4.7,4.1,3.5
Luxembourg,LU,Luxembourg,Eurostat/CTS,1.1,4.2,3.2,3.2,5.3,0.0,3.2,0.0
Malaysia,MY,Kuala Lampur,CTS,3.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Maldives,MV,Male,CTS,0.0,0.0,6.7,5.0,0.0,0.0,0.0,0.0
Malta,MT,Valletta,CTS,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0
Mauritius,MU,Port Louis,CTS,5.4,3.4,5.4,9.4,7.4,8.1,5.4,0.0
Mexico,MX,Mexico City,CTS,7.9,7.3,8.0,8.0,8.4,9.2,8.8,0.0
Monaco,MN,Monte Carlo,CTS,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,MG,Ulan Bator,CTS,16.8,15.6,14.1,10.5,8.9,10.5,11.9,0.0
Montenegro,MJ,Podgorica,CTS,6.5,5.9,3.7,3.6,4.1,3.5,3.5,3.5
Morocco,MO,Casablanca,CTS,1.2,0.8,1.1,1.0,1.4,0.0,0.0,0.0
Mozambique,MZ,Maputo,CTS,9.7,6.9,8.4,4.8,3.5,0.0,0.0,0.0
Nepal,NP,Kathmandu,CTS,19.2,18.5,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,NL,Amsterdam,Eurostat,3.2,2.3,3.6,1.5,3.2,1.3,1.5,0.0
New Zealand,NZ,Auckland,CTS,1.4,1.7,0.8,1.4,1.0,1.1,0.9,0.7
Nicaragua,NU,Managua,CTS,11.7,14.1,0.0,0.0,0.0,18.7,0.0,0.0
Norway,NO,Oslo,CTS,1.6,1.6,1.4,2.1,1.2,0.9,3.2,0.0
Oman,MU,Muscat,CTS,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0
Panama,PM,Panama City,CTS,15.9,14.9,18.1,27.0,34.6,30.6,60.2,53.1
